Date,Price,Open,High,Low,Vol.,Change %
23-Sep-13,5889.75,5945.8,5989.4,5871.4,188.32M,-2.04%
24-Sep-13,5892.45,5855.0,5938.4,5854.55,187.58M,0.05%
25-Sep-13,5873.85,5901.55,5910.55,5811.1,200.16M,-0.32%
26-Sep-13,5882.25,5872.8,5917.65,5864.1,220.59M,0.14%
27-Sep-13,5833.2,5905.55,5909.2,5819.3,163.07M,-0.83%
30-Sep-13,5735.3,5801.05,5810.2,5718.5,155.68M,-1.68%
1-Oct-13,5780.05,5756.1,5786.45,5700.95,159.25M,0.78%
3-Oct-13,5909.7,5819.1,5917.6,5802.7,199.79M,2.24%
4-Oct-13,5907.3,5891.3,5950.45,5885.0,191.47M,-0.04%
7-Oct-13,5906.15,5889.05,5912.0,5825.85,156.39M,-0.02%
8-Oct-13,5928.4,5975.0,5981.7,5913.0,158.53M,0.38%
9-Oct-13,6007.45,5893.25,6015.5,5877.1,192.04M,1.33%
10-Oct-13,6020.95,6001.05,6033.95,5979.8,159.61M,0.22%
11-Oct-13,6096.2,6104.85,6107.6,6046.4,180.83M,1.25%
14-Oct-13,6112.7,6093.0,6124.1,6082.9,142.17M,0.27%
15-Oct-13,6089.05,6147.55,6156.3,6056.55,218.30M,-0.39%
17-Oct-13,6045.85,6098.5,6110.75,6032.55,230.56M,-0.71%
18-Oct-13,6189.35,6070.9,6201.45,6070.9,250.34M,2.37%
21-Oct-13,6204.95,6202.0,6218.95,6163.3,196.99M,0.25%
22-Oct-13,6202.8,6192.3,6220.1,6181.8,161.94M,-0.03%
23-Oct-13,6178.35,6209.55,6217.95,6116.6,188.28M,-0.39%
24-Oct-13,6164.35,6162.8,6252.45,6142.95,148.91M,-0.23%
25-Oct-13,6144.9,6154.0,6174.75,6125.95,144.53M,-0.32%
28-Oct-13,6101.1,6155.1,6168.75,6094.1,146.34M,-0.71%
29-Oct-13,6220.9,6107.55,6228.05,6079.2,197.35M,1.96%
30-Oct-13,6251.7,6230.8,6269.2,6222.6,177.58M,0.50%
31-Oct-13,6299.15,6237.15,6309.05,6235.9,239.61M,0.76%
1-Nov-13,6307.2,6289.75,6332.6,6286.95,191.64M,0.13%
3-Nov-13,6324.95,6332.05,6342.95,6319.25,9.36M,0.28%
5-Nov-13,6253.15,6282.15,6304.75,6244.3,181.05M,-1.14%
6-Nov-13,6215.15,6260.55,6269.7,6208.7,157.08M,-0.61%
7-Nov-13,6187.25,6228.9,6288.95,6180.8,168.83M,-0.45%
8-Nov-13,6140.75,6170.15,6185.15,6120.95,150.05M,-0.75%
11-Nov-13,6078.8,6110.4,6141.65,6067.75,146.06M,-1.01%
12-Nov-13,6018.05,6087.25,6108.7,6011.75,153.81M,-1.00%
13-Nov-13,5989.6,5998.85,6042.25,5972.45,162.54M,-0.47%
14-Nov-13,6056.15,6037.0,6101.65,6036.65,154.91M,1.11%
18-Nov-13,6189.0,6111.05,6196.8,6110.4,163.99M,2.19%
19-Nov-13,6203.35,6197.25,6212.4,6180.2,161.51M,0.23%
20-Nov-13,6122.9,6186.85,6204.35,6106.95,155.80M,-1.30%
21-Nov-13,5999.05,6096.5,6097.35,5985.4,137.23M,-2.02%
22-Nov-13,5995.45,6027.35,6049.6,5972.8,134.76M,-0.06%
25-Nov-13,6115.35,6035.95,6123.5,6035.95,127.20M,2.00%
26-Nov-13,6059.1,6099.25,6112.7,6047.75,150.66M,-0.92%
27-Nov-13,6057.1,6062.7,6074.0,6030.3,124.88M,-0.03%
28-Nov-13,6091.85,6092.0,6112.95,6068.3,195.32M,0.57%
29-Nov-13,6176.1,6103.9,6182.5,6103.8,190.71M,1.38%
2-Dec-13,6217.85,6171.15,6228.7,6171.15,145.95M,0.68%
3-Dec-13,6201.85,6204.25,6225.4,6191.4,156.85M,-0.26%
4-Dec-13,6160.95,6187.95,6209.15,6149.9,186.17M,-0.66%
5-Dec-13,6241.1,6262.45,6300.55,6232.0,186.06M,1.30%
6-Dec-13,6259.9,6234.4,6275.35,6230.75,158.54M,0.30%
9-Dec-13,6363.9,6415.0,6415.25,6345.0,198.29M,1.66%
10-Dec-13,6332.85,6354.7,6362.25,6307.55,242.41M,-0.49%
11-Dec-13,6307.9,6307.2,6326.6,6280.25,148.20M,-0.39%
12-Dec-13,6237.05,6276.75,6286.85,6230.55,148.53M,-1.12%
13-Dec-13,6168.4,6201.3,6208.6,6161.4,169.65M,-1.10%
16-Dec-13,6154.7,6168.35,6183.25,6146.05,146.45M,-0.22%
17-Dec-13,6139.05,6178.2,6190.55,6133.0,154.18M,-0.25%
18-Dec-13,6217.15,6129.95,6236.0,6129.95,243.25M,1.27%
19-Dec-13,6166.65,6253.9,6263.75,6150.7,437.04M,-0.81%
20-Dec-13,6274.25,6179.95,6284.5,6170.35,171.97M,1.74%
23-Dec-13,6284.5,6267.2,6317.5,6266.95,131.19M,0.16%
24-Dec-13,6268.4,6296.45,6301.5,6262.0,107.64M,-0.26%
26-Dec-13,6278.9,6270.1,6302.75,6259.45,182.31M,0.17%
27-Dec-13,6313.8,6292.8,6324.9,6289.4,96.87M,0.56%
30-Dec-13,6291.1,6336.4,6344.05,6273.15,101.27M,-0.36%
31-Dec-13,6304.0,6307.35,6317.3,6287.3,103.44M,0.21%
1-Jan-14,6301.65,6323.8,6327.2,6298.25,69.57M,-0.04%
2-Jan-14,6221.15,6301.25,6358.3,6211.3,158.13M,-1.28%
3-Jan-14,6211.15,6194.55,6221.7,6171.25,139.04M,-0.16%
6-Jan-14,6191.45,6220.85,6224.7,6170.25,118.35M,-0.32%
7-Jan-14,6162.25,6203.9,6221.5,6144.75,138.56M,-0.47%
8-Jan-14,6174.6,6178.05,6192.1,6160.35,146.91M,0.20%
9-Jan-14,6168.35,6181.7,6188.05,6148.25,150.06M,-0.10%
10-Jan-14,6171.45,6178.85,6239.1,6139.6,159.92M,0.05%
